genes	cluster
GPC1	12
GPC2	25
GPC3	13
GPC4	9
GPM6A	12
GPM6B	12
GPNMB	2
GPR15	14
GPR153	2
GPR157	6
GPR174	17
GPR176	3
GPR183	8
GPR61	6
GPR83	6
GPRASP2	14
GPRC5A	3
GPRC5B	11
GPRIN3	2
GPX2	10
GPX3	9
GPX4	5
GRAP	6
GREM2	2
GRPEL2	6
GSPT1	5
GSPT2	6
GSS	5
GSTA4	9
GSTP1	5
GTF2IRD1	9
GTF3C4	6
GTPBP1	5
GUK1	5
GZF1	2
GZMA	5
GZMB	2
GZMH	5
GZMK	5
GZMM	2
HAGH	5
HAMP	5
HAVCR2	2
HBA2	5
HBE1	13
HBEGF	10
HBG1	13
HBG2	13
HCAR2	5
HCAR3	5
HDLBP	5
HEATR9	5
HEBP1	5
HEG1	2
HEPH	12
HES1	9
HES4	5
HEXA	2
HGD	5
HHATL	19
HIBADH	8
HID1	14
HIF3A	1
HILPDA	5
HIVEP3	5
HK1	5
HK2	5
HLA.DOB	6
HMCN2	12
HMGCS2	5
HMGXB3	2
HMOX1	10
HNRNPA2B1	10
HNRNPA3	5
HNRNPD	5
HNRNPF	5
HNRNPL	5
HNRNPM	5
HOXC4	2
HP	7
HPCAL4	6
HPD	10
HRC	12
HRH4	13
HRK	6
HS3ST1	11
HSD11B1	9
HSD11B1L	6
HSD17B14	5
HSP90AA1	10
HSP90AB1	5
HSP90B1	5
HSPA1A	5
HSPA1B	5
HSPA5	5
HSPA9	5
HSPB1	5
HSPB6	13
HSPB7	13
HSPB8	9
HSPE1	5
HSPG2	11
HSPH1	5
HTRA3	7
HYOU1	2
ICAM1	5
ID1	13
ID4	3
IFI27	5
IFNG	5
IFT74	22
IFT81	6
IGF2BP2	5
IGFBP2	5
IGFBP3	3
IGFBP4	1
IGFBP6	13
IGFN1	12
IGLL1	25
IGSF3	9
IGSF9	2
IL10	9
IL12RB1	2
IL12RB2	17
IL17C	5
IL17RE	6
IL18BP	5
IL1B	19
IL1RN	4
IL23A	6
IL2RA	14
IL2RB	2
IL33	13
IL4I1	5
IMPG2	6
ING1	10
ING4	6
INHBA	7
INMT	13
INSR	5
INTU	3
IQCG	8
IRF6	9
IRS1	6
IRX3	8
ISCA2	4
ISL2	19
ISLR	1
ISM1	11
ITGA10	12
ITGA11	13
ITGA2	14
ITGA2B	5
ITGA3	14
ITGA6	6
ITGA7	4
ITGB1BP2	4
ITGB3BP	6
ITGB8	13
ITIH1	5
ITIH3	7
ITIH5	1
ITLN1	13
ITPRIPL1	2
ITSN1	5
JAG2	5
JAKMIP1	2
JAM2	12
JAZF1	5
JCHAIN	6
