,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
ZNF823,31,6,11,2,4,1,1,42,0,9,0,0,0,0,0,0,0,0,1,0,0,2,9,47,73,7,19,0,0,0,0,0,0,70,0,2,59,6,7,12,6,17,11,3,9,0,9,12,2,0,68,18,35,15,41,12,83,44,17,9,0,4,1,21
ZNF835,67,29,12,3,2,0,1,12,0,7,0,0,0,0,0,0,0,0,3,0,0,1,42,113,192,18,32,0,0,0,0,0,0,52,0,1,87,20,12,12,22,9,7,3,6,0,3,8,2,0,57,15,16,6,31,6,27,41,15,4,0,2,1,16
ZNF84,499,257,164,43,13,3,2,67,0,25,0,0,0,0,1,1,0,0,7,0,0,9,47,330,390,52,85,0,0,0,0,0,0,335,11,7,679,118,118,136,115,108,99,37,85,1,85,70,8,3,579,146,303,127,298,66,385,198,194,34,0,14,8,157
ZNF860,477,303,260,52,12,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,6,12,4,2,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,2,0,0,0,0,0,0
ZNF888,61,28,26,11,3,0,1,17,0,19,0,0,0,0,1,0,0,0,0,0,0,16,30,127,152,30,37,0,0,0,0,0,0,79,0,0,52,12,15,10,9,9,7,1,9,0,8,7,2,0,33,15,39,20,60,13,78,45,20,5,1,4,2,26
ZSCAN16,155,81,61,14,16,1,0,28,0,33,0,0,0,0,1,0,0,0,3,0,0,5,40,145,218,30,103,0,0,0,0,0,0,195,3,2,238,51,62,73,32,40,59,20,37,0,50,51,11,3,186,60,135,50,162,45,207,119,81,13,0,3,5,64
ZSCAN18,548,217,100,22,3,1,3,34,0,16,0,0,0,0,0,0,0,0,4,0,0,18,24,109,140,22,29,0,0,0,0,0,0,217,4,3,552,64,67,80,99,80,83,29,33,0,15,23,1,1,479,137,98,13,26,11,56,211,100,2,0,8,3,38
ZSCAN26,192,73,73,14,14,1,2,33,0,14,0,0,0,0,1,3,0,0,6,0,0,5,38,141,218,23,50,2,0,0,0,0,0,226,3,2,287,31,39,56,51,41,52,19,40,0,70,31,4,0,239,69,174,73,207,58,263,132,83,11,0,8,5,90
ZSCAN30,368,166,101,23,16,2,3,47,0,27,0,0,0,0,1,4,0,0,2,0,0,26,64,211,335,39,86,1,0,0,0,0,0,229,5,4,341,61,63,62,68,56,51,20,45,0,51,47,4,3,353,84,162,85,182,46,259,174,110,17,2,11,11,96
ZSWIM1,113,70,47,6,15,1,0,24,0,12,0,0,0,0,2,1,0,1,6,0,0,2,60,233,316,41,70,0,0,0,0,0,0,76,1,2,155,30,43,35,29,29,29,11,13,0,21,29,2,1,135,38,61,19,71,16,62,40,30,4,0,3,3,18
