,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
ELOVL4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,11,17,17,30,2,5,31,8,3,0,0,2,1,0,4,10,15,3,8,3,10,0,4,19,1,0,0,7
EMD,1364,450,495,182,692,97,5,195,0,34,0,0,0,0,12,11,0,0,2,0,0,585,843,3107,4530,469,718,11,0,0,0,0,0,1540,9,48,2124,522,369,713,387,465,445,77,171,3,207,547,238,4,788,366,737,307,884,180,941,535,215,778,54,70,40,269
EMP3,2838,995,1061,364,1053,135,7,415,0,44,0,0,0,0,20,31,0,0,3,0,0,1026,2237,11118,19452,1267,2171,43,1,0,0,2,0,4317,28,79,4638,1286,845,1643,804,923,938,184,329,4,482,1344,329,8,1755,827,1616,696,2310,434,2281,1249,420,1034,83,120,84,538
ENDOD1,372,108,88,48,27,3,1,28,0,2,0,0,0,0,1,3,0,0,0,0,0,597,35,228,241,50,106,0,0,0,0,1,0,271,1,9,247,53,65,85,58,49,55,16,29,0,36,104,35,0,83,46,110,40,126,43,167,86,30,109,9,15,5,35
ENDOV,228,59,55,14,105,10,2,46,0,8,0,0,0,0,2,1,0,0,1,0,0,13,197,778,1153,98,140,2,0,0,0,0,0,162,1,3,223,41,44,52,39,72,42,5,13,0,22,51,23,1,70,31,79,23,101,23,78,59,17,103,10,14,8,18
ENO1,2160,742,806,219,862,132,9,360,0,53,0,0,0,0,19,28,0,0,3,0,0,641,2062,9998,18559,1117,1696,43,0,0,0,3,0,2603,22,76,3592,850,615,1182,659,705,662,148,248,4,360,1002,311,8,1388,596,1227,526,1522,294,1525,880,303,1028,80,114,70,349
ENO3,91,48,50,18,54,12,3,20,0,5,0,0,0,0,0,0,0,0,0,0,0,18,51,209,337,29,50,0,0,0,0,0,0,273,1,14,170,37,32,57,28,45,26,2,21,0,21,48,25,3,62,29,74,37,119,24,144,72,12,121,8,16,6,22
EOMES,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,14,12,1,3,0,0,0,0,0,0,751,7,26,14,0,4,3,3,8,1,8,39,0,67,10,3,1,31,29,441,138,297,85,493,297,73,267,4,42,32,83
EPB41L4A,31,21,30,8,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,70,135,12,17,0,0,0,0,1,0,189,0,5,42,15,14,20,12,25,21,3,5,0,15,12,3,0,26,9,28,23,65,23,122,37,9,14,1,2,0,18
EPS8,170,62,54,17,54,10,2,63,0,3,0,0,0,0,3,0,0,0,1,0,0,7,191,817,853,151,256,1,0,0,0,1,0,85,1,3,206,22,41,71,56,96,68,13,19,1,18,42,19,0,86,42,54,18,59,27,63,46,25,35,6,4,3,24
ERP27,97,29,15,7,9,2,0,16,0,0,0,0,0,0,1,2,0,0,0,0,0,2,53,222,471,19,27,1,0,0,0,0,0,99,0,4,220,28,41,58,57,63,31,4,11,0,17,49,16,0,66,29,56,21,67,19,67,38,13,43,2,4,3,13
ERRFI1,12,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,24,35,1,7,0,0,0,0,0,0,30,0,0,32,2,4,6,9,13,4,5,1,0,2,6,0,0,13,7,12,2,18,13,33,13,7,3,0,0,0,6
ESPN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,4,0,0,38,24,14,20,9,19,29,7,5,0,0,12,4,0,13,8,2,0,4,3,2,2,10,5,1,0,0,0
ESPNL,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVC2,2,2,8,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,23,25,0,2,0,0,0,0,0,0,30,0,2,0,5,7,21,1,3,6,2,2,0,1,5,3,0,7,3,20,8,23,3,16,6,2,13,1,2,3,4
EWSR1,1896,603,634,189,820,112,5,249,0,40,0,0,0,0,10,14,0,0,2,0,0,217,1214,5047,8473,654,1027,25,1,0,0,1,0,1866,22,54,2430,569,452,765,445,486,446,86,170,3,243,705,274,7,890,377,940,406,1064,212,1110,617,196,905,67,91,62,269
FA2H,0,6,34,1,55,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAHD1,168,65,52,20,64,16,0,56,0,4,0,0,0,0,0,0,0,0,0,0,0,8,192,742,1015,133,141,0,0,0,0,0,0,171,1,5,266,50,51,74,64,70,52,5,16,0,23,68,31,2,93,28,83,28,103,22,121,74,23,115,11,12,4,16
FAM102A,216,217,293,33,107,12,1,8,0,3,0,0,0,0,0,0,0,0,0,0,0,23,17,99,132,9,21,0,0,0,0,0,0,61,4,0,1341,310,293,425,271,312,233,34,76,1,26,402,104,2,501,223,269,29,86,21,52,25,70,134,26,6,35,39
FAM111B,152,60,21,7,24,30,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,5,50,154,280,21,24,2,0,0,0,0,0,71,0,20,154,20,36,29,35,63,24,4,2,0,12,30,83,1,72,19,49,9,40,22,53,37,8,226,9,37,4,9
FAM171A1,5,1,7,0,90,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,4,1,2,0,0,0,0,0,0,32,0,1,132,30,28,35,34,24,15,2,7,0,4,12,4,0,39,17,21,8,18,4,15,10,7,13,4,1,4,10
FAM20B,169,47,39,24,31,8,0,36,0,4,0,0,0,0,0,2,0,0,0,0,0,29,156,699,1178,93,150,3,0,0,0,0,0,138,3,5,198,37,48,53,47,70,43,9,9,0,17,24,19,0,65,33,69,20,68,10,68,65,17,75,4,12,2,16
FAM210A,303,108,113,39,116,18,0,46,0,9,0,0,0,0,0,2,0,0,0,0,0,12,148,695,857,113,124,4,0,0,0,0,0,244,5,11,309,76,64,95,69,74,66,8,18,0,36,90,88,2,129,57,133,45,150,37,145,116,30,218,20,15,9,29
FAM216A,236,88,60,24,61,14,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,12,111,442,680,37,69,1,0,0,0,0,0,68,0,7,302,38,38,34,60,71,33,4,13,0,10,42,32,0,95,44,51,18,49,11,55,35,13,146,7,9,4,8
FAM219B,416,163,222,63,179,33,1,62,0,7,0,0,0,0,1,2,0,0,0,0,0,20,152,742,1168,89,132,4,0,0,0,0,0,389,4,19,564,139,107,150,83,104,95,23,46,0,53,155,60,0,185,99,200,58,251,45,249,158,45,204,19,15,11,45
FAM43A,90,37,21,15,10,0,0,10,0,2,0,0,0,0,0,2,0,0,0,0,0,2,75,191,344,20,22,1,0,0,0,0,0,72,1,4,22,9,8,14,9,14,13,0,2,0,4,14,8,0,5,9,17,5,14,10,33,53,16,5,0,1,1,6
FAM50A,425,194,268,70,335,47,3,160,0,11,0,0,0,0,12,6,0,0,0,0,0,92,651,3675,6151,490,755,7,0,0,0,2,0,893,7,31,912,292,224,430,170,226,239,43,83,0,101,380,158,4,374,199,388,176,499,100,506,284,104,473,33,38,25,75
FAM81A,133,16,8,0,2,1,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0,3,8,42,31,7,7,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,3,3,0,15,0,3,0,0
FAM83H,6,1,2,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,65,145,12,10,0,0,0,0,0,0,14,0,0,31,4,5,6,6,8,4,0,1,0,0,9,0,0,9,2,2,4,7,5,13,10,0,5,0,1,0,2
FANCF,299,80,85,19,92,14,0,26,0,4,0,0,0,0,0,2,0,0,0,0,0,5,101,430,680,44,73,2,0,0,0,0,0,163,2,4,331,66,62,99,60,80,35,5,23,0,35,90,49,0,122,49,121,34,120,25,110,83,21,135,5,9,10,32
FBXO15,634,175,190,49,166,20,0,54,0,19,0,0,0,0,3,2,0,0,0,0,0,13,223,733,1100,108,165,8,0,0,0,0,0,464,5,11,679,126,137,154,104,144,116,29,44,1,74,147,58,4,249,105,218,73,260,58,284,160,60,214,15,18,18,64
FBXO40,25,11,6,3,12,3,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,7,24,96,179,17,15,1,0,0,0,0,0,17,1,0,53,4,6,1,15,21,5,0,2,0,2,9,0,0,22,7,11,2,11,6,10,8,5,6,0,0,0,1
FCGBP,49,5,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,1,2,0,0,0,0,0,0,56,0,0,24,5,2,2,3,3,6,0,2,0,3,5,0,0,72,21,34,8,48,10,57,22,13,9,0,3,1,11
FCGR3A,53,17,20,3,8,2,1,134,0,4,0,0,0,0,10,6,0,0,1,0,0,46,342,2930,1265,1027,1948,2,0,0,0,0,0,4165,4,70,44,16,10,12,16,9,10,4,35,2,148,13,9,3,73,15,406,379,1148,269,2234,1168,71,435,8,99,5,293
FGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
