,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
PA2G4,799,461,387,86,47,4,44,569,0,112,0,0,0,0,3,7,0,0,0,0,0,15,714,1705,2322,206,1008,3,0,1,0,1,0,2127,54,20,2939,532,277,673,454,525,618,227,402,12,563,325,25,3,2920,819,1279,591,2224,454,2253,1498,913,168,3,45,43,944
PANX1,93,68,74,15,8,0,3,56,0,5,0,0,0,0,1,0,0,0,0,0,0,109,83,155,215,18,116,1,0,0,0,0,0,214,7,1,109,29,16,53,28,36,59,21,26,0,43,39,6,2,126,53,130,59,174,45,235,143,73,16,0,2,3,91
PAPLN,19,5,7,2,2,0,0,19,0,34,0,0,0,0,0,0,0,0,0,0,0,1,80,98,161,12,39,1,0,0,0,0,0,14,1,0,25,5,2,2,7,4,3,0,3,0,4,7,1,0,21,11,2,6,6,2,11,12,5,1,0,0,1,6
PAQR8,115,73,55,19,7,0,13,128,0,18,0,0,0,0,0,1,0,0,0,0,0,2,210,519,810,50,170,0,0,1,0,2,0,201,2,0,414,64,41,67,80,94,82,25,59,2,61,36,4,0,375,104,142,52,200,36,145,105,93,12,0,1,6,73
PARP3,129,93,139,7,18,0,20,38,0,5,0,0,0,0,1,0,0,0,0,0,0,1,23,83,95,13,99,0,0,0,0,0,0,74,6,0,247,51,31,67,54,49,58,28,33,1,30,26,2,0,304,86,121,28,110,24,82,54,65,15,0,1,3,55
PCBP1,978,511,483,107,67,7,38,652,0,117,0,0,0,0,3,10,0,0,0,0,0,63,1358,2743,4134,318,1600,8,0,5,0,4,0,2376,54,16,3512,578,225,680,418,411,581,218,412,11,636,349,29,3,2981,787,1342,784,2433,506,2722,1795,907,150,3,41,51,1003
PCDHGB6,5,4,6,3,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,24,41,5,12,0,0,0,0,0,0,34,0,0,8,3,0,3,3,4,3,0,5,0,1,0,3,0,15,7,2,4,14,5,16,15,4,0,0,0,0,6
PCGF5,813,414,372,71,45,3,26,366,0,37,0,0,0,0,3,5,0,0,0,1,0,109,559,1443,1595,213,1367,3,1,2,0,2,0,1156,31,8,1613,285,186,370,284,369,402,161,197,5,266,177,17,3,1301,541,810,365,1073,269,1225,818,557,86,2,16,19,544
PCK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCK2,207,125,153,22,24,1,3,175,0,12,0,0,0,0,0,0,0,0,0,0,0,27,166,435,480,89,470,0,0,0,0,0,0,140,4,4,180,52,39,80,44,41,76,17,43,0,45,58,10,0,145,61,88,46,165,25,138,98,56,28,0,7,3,52
PCYOX1,79,47,36,5,14,1,6,61,0,24,0,0,0,0,1,2,0,0,0,0,0,4,112,283,334,34,141,0,0,0,0,1,0,244,6,1,395,47,35,76,76,63,81,22,37,1,54,33,4,0,322,95,143,49,258,49,237,176,92,18,1,2,9,81
PCYT1B,11,5,6,0,1,0,6,61,0,3,0,0,0,0,1,0,0,0,0,0,0,56,63,84,90,11,35,0,0,0,0,1,0,24,0,0,23,8,3,10,4,13,7,0,0,0,5,3,1,0,13,7,5,1,14,5,15,10,2,0,0,0,0,10
PDCD1LG2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,2,0,0,0,0,0,0,2,0,0,5,3,1,1,2,3,0,0,3,0,1,2,0,0,1,1,6,4,11,1,22,0,0,1,0,0,0,4
PDCD2,388,232,243,39,25,0,21,294,0,55,0,0,0,0,0,1,0,0,0,1,0,5,363,829,1051,88,515,3,0,0,0,1,0,768,17,5,1309,197,135,228,241,237,340,106,120,3,142,149,21,2,1174,325,384,192,570,134,781,501,281,58,3,8,24,302
PDE4A,27,7,5,2,4,0,3,196,0,4,0,0,0,0,0,1,0,0,0,0,0,1,272,524,681,85,408,2,0,0,0,2,0,398,15,0,16,12,5,38,7,13,36,10,14,0,17,25,3,2,36,49,80,41,161,61,361,287,57,9,0,4,7,54
PDE9A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,0,0,0,0,0,0,1,0,0,114,3,4,7,19,11,8,3,2,0,0,3,0,0,90,15,4,1,4,0,2,4,2,1,0,0,0,1
PDIA3,1296,739,573,152,88,8,50,676,0,166,0,0,0,0,3,8,0,0,0,1,0,156,1120,2417,3256,291,1615,5,0,3,0,6,0,4265,80,23,3807,714,394,914,632,781,949,384,582,23,887,418,37,3,3261,1208,2048,1068,3554,793,4110,2752,1454,207,3,47,43,1648
PDIA4,290,147,148,26,86,7,31,263,0,117,0,0,0,0,2,1,0,0,0,0,0,6,300,850,1010,107,466,5,0,0,0,0,0,1383,23,9,991,216,117,348,170,208,303,101,204,6,297,125,11,4,864,374,548,270,1100,236,1265,932,553,78,2,27,11,535
PDIA6,582,391,357,108,84,8,35,494,0,122,0,0,0,0,3,5,0,0,0,0,0,14,548,1333,1618,207,955,1,0,1,0,1,0,1860,33,20,923,309,166,526,223,318,503,189,306,11,437,230,29,3,821,487,869,437,1703,365,2098,1326,731,133,3,37,17,727
PEAR1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1,3,4,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0
PEX12,11,6,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,21,4,10,0,0,0,0,0,0,17,0,1,73,8,11,11,21,11,14,1,6,0,10,2,1,0,64,16,17,6,39,10,23,23,17,3,0,0,0,15
PF4,47,22,31,7,4,0,7,60,0,19,0,0,0,0,0,1,0,0,0,0,0,465,158,255,364,29,168,0,0,2,0,3,0,159,5,1,141,17,22,19,14,19,30,14,8,0,5,20,1,0,163,45,56,25,111,19,172,92,51,3,0,4,1,52
PF4V1,11,5,4,4,1,0,3,19,0,8,0,0,0,0,0,0,0,0,0,0,0,250,31,57,83,7,51,1,0,0,0,0,0,42,2,0,45,2,4,10,4,7,11,7,6,0,7,4,0,0,44,10,13,8,19,5,30,24,12,0,0,0,1,13
PGA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
