Mixture	NK cells	Monocytes	NKT cells	B cells	T cells CD4	T cells CD8	Dendritic cells	Megakaryocytes
GTEX-15CHC	0.066389465	0.711092864	0	0.015228027	0.176748074	0	0	0.03054157
GTEX-15CHQ	0.139442949	0.219827096	0.135236346	0.106346394	0	0.36693374	0.01054374	0.021669735
GTEX-15CHR	0.044575788	0.704238138	0	0	0.234023973	0	0	0.0171621
GTEX-15D1Q	0.102442544	0.505799185	0	0.064956033	0.2238275	0.045721221	0	0.057253518
GTEX-15D79	0.081342387	0.292545973	0.074734398	0.179798069	0.022937211	0.279312538	0.011954273	0.057375152
GTEX-15DCD	0.048669939	0.292713154	0.123466637	0.05445016	0	0.469856701	0	0.010843409
GTEX-15DCE	0.047583806	0.686007795	0	0.024325885	0.186388943	0	0	0.055693572
GTEX-15DYW	0.065207774	0.13033956	0.084667602	0.166687413	0	0.534149189	0.003583877	0.015364586
GTEX-15DZA	0.073936881	0.656215937	0	0.026552947	0.199531826	0	0	0.043762408
GTEX-15EO6	0.099644157	0.683699824	0	0.074774292	0.116383408	0	0	0.025498319
GTEX-15ETS	0.069002673	0.695593981	0	0.033278691	0.168963683	0	0	0.033160972
GTEX-15EU6	0.042037439	0.713152661	0	0.157071799	0.07635137	0	0	0.011386731
GTEX-15G19	0.122621048	0.070626056	0.128947868	0.05907215	0	0.58888793	0.000714497	0.029130452
GTEX-15G1A	0.039696888	0.74094318	0.013948874	0.146663578	0.044509623	0	0	0.014237857
GTEX-15RIE	0.047063521	0.652096938	0	0.04087156	0.217051538	0	0	0.042916444
GTEX-15RIF	0.072375566	0.724622145	0	0.014388733	0.184417734	0	0	0.004195823
GTEX-15RIG	0.070992191	0.741916705	0	0.036349833	0.139435984	0	0	0.011305287
GTEX-15RJ7	0.043653081	0.651341673	0	0.069601963	0.1819732	0.015241493	0	0.03818859
GTEX-15RJE	0.096049545	0.659231623	0	0.083766747	0.136945876	0	0	0.024006208
GTEX-15SB6	0.058045047	0.694777291	0	0.037419729	0.175044056	0	0	0.034713878
GTEX-15SDE	0.059356896	0.56641748	0	0.031586173	0.300262255	0	0	0.042377195
GTEX-16AAH	0.089617771	0.667467937	0	0.043479351	0.158743632	0	0	0.040691309
GTEX-16BQI	0.053656428	0.705232343	0	0.066148707	0.155624719	0	0	0.019337803
GTEX-16MT8	0.123470187	0.480681394	0.005120568	0.22308226	0	0.131893729	0	0.035751862
GTEX-16MT9	0.140083257	0.393742796	0.018863113	0.09629902	0	0.335417683	0	0.015594132
GTEX-16MTA	0.078032048	0.706117523	0	0.033064268	0.157110351	0	0	0.025675811
GTEX-16NGA	0.048122835	0.732425774	0	0.050469022	0.138326491	0	0	0.030655878
GTEX-16NPV	0.145797503	0.577204263	0.012929245	0.125344943	0.078102969	0.029256413	0	0.031364664
GTEX-16NPX	0.21063515	0.489609781	0	0.134735127	0.027354934	0.13387028	0	0.003794729
GTEX-16XZY	0.078943409	0.695864954	0	0.02074848	0.17163899	0	0	0.032804167
GTEX-16XZZ	0.086015853	0.647652276	0	0.077466719	0.125887919	0.005953441	0	0.057023792
GTEX-16YQH	0.07329267	0.50135397	0.022348349	0.169717883	0.020499378	0.193362772	0	0.019424978
GTEX-16Z82	0.047855985	0.3123763	0.095184684	0.120592058	0.149903434	0.250266729	0	0.02382081
GTEX-178AV	0.071010729	0.503250319	0	0.058290092	0.303051887	0	0	0.064396973
GTEX-17EUY	0.074972886	0.643345128	0	0.058626423	0.184213982	0	0	0.038841581
GTEX-17EVP	0.122440726	0.34880899	0.015123753	0.298493489	0.112165929	0.058274777	0	0.044692336
GTEX-17EVQ	0.120038706	0.431332493	0.008518569	0.167781666	0.131797563	0.122246908	0	0.018284094
GTEX-17GQL	0.065052524	0.672745815	0	0.066251839	0.139967862	0	0	0.05598196
GTEX-17HG3	0.066791326	0.337789614	0.041653088	0.223181215	0.173239334	0.138891702	0.004537307	0.013916415
GTEX-17HGU	0.103264524	0.525994657	0	0.146410262	0.123882569	0.078218283	0	0.022229705
GTEX-17HHE	0.116246765	0.486886808	0	0.095114921	0.243229717	0.042124913	0	0.016396876
GTEX-17HHY	0.065489063	0.073137751	0.06604831	0.224733863	0.072467034	0.372657447	0.106168289	0.019298241
GTEX-17HII	0.083820086	0.647779374	0	0.122777513	0.06881562	0.045479172	0	0.031328236
GTEX-17JCI	0.063398586	0.366228218	0.043123532	0.159514735	0.11194281	0.231373068	0.003881691	0.02053736
GTEX-17KNJ	0.049230147	0.715666718	0	0	0.210851475	0	0	0.024251659
GTEX-17MFQ	0.053205028	0.713108963	0	0.020151943	0.202272546	0	0	0.01126152
GTEX-183FY	0.051874905	0.71928346	0	0.038500755	0.185537297	0	0	0.004803582
GTEX-183WM	0.05616743	0.617886084	0.008815982	0.211777277	0.070311693	0.018980923	0	0.016060609
GTEX-18465	0.079138609	0.369558653	0.051800985	0.14625781	0.194990881	0.136902251	0	0.021350811
GTEX-18A66	0.046002303	0.647365715	0.001639734	0.167405671	0.05328218	0.072600749	0	0.011703648
GTEX-18A67	0.055943355	0.714372694	0	0.038346849	0.170872181	0.00728781	0	0.013177111
GTEX-18A6Q	0.062543522	0.258946736	0.060012864	0.219095819	0.192583122	0.190466039	0.001593655	0.014758242
GTEX-18A7A	0.10069643	0.251985629	0.061109509	0.208933878	0.046442833	0.299198285	0.011064506	0.020568931
GTEX-18A7B	0.135018376	0.539268975	0	0.07212595	0.100974693	0.069360166	0	0.08325184
GTEX-18D9A	0.099596086	0.633675227	0.018985077	0.076135717	0.134593994	0	0	0.037013899
GTEX-18D9B	0.08154754	0.643962339	0	0.012313934	0.231317916	0	0	0.030858272
GTEX-18D9U	0.074334843	0.54420631	0.085441102	0.050005352	0	0.240712085	0	0.005300308
GTEX-18QFQ	0.043732614	0.697699582	0	0.04592681	0.199084156	0	0	0.013556838
GTEX-1A32A	0.113543921	0.53776665	0	0.131122626	0.187619942	0.003769367	0	0.026177494
GTEX-1A3MV	0.07932977	0.608217787	0	0.102892592	0.143937458	0.036244022	0	0.029378371
GTEX-1A3MW	0.03041774	0.738378032	0.036987016	0.091435665	0	0.069331613	0	0.033449934
GTEX-1A3MX	0.090532978	0.63620248	0	0.033310825	0.168204309	0	0	0.071749408
GTEX-1A8FM	0.073578477	0.318558518	0.072056385	0.104392897	0	0.401814043	0.006091237	0.023508443
GTEX-1A8G6	0.078985776	0.397519818	0.074840437	0.108482319	0.044205495	0.269061264	0	0.026904891
GTEX-1A8G7	0.065785131	0.291599614	0.093674068	0.164189163	0	0.359486348	0.004718417	0.020547259
GTEX-1AMEY	0.079287806	0.657727293	0	0.035786259	0.178830129	0	0	0.048368514
GTEX-1AMFI	0.074047281	0.651472285	0	0.07596496	0.186868194	0	0	0.011647279
GTEX-1AX8Z	0.06555588	0.730344338	0	0.024619037	0.174401741	0	0	0.005079004
GTEX-1AX9I	0.13434904	0.524174612	0.022470823	0.136692901	0.018772546	0.150273559	0	0.013266519
GTEX-1AX9J	0.070490672	0.730954506	0	0.0663203	0.121253195	0	0	0.010981327
GTEX-1AX9K	0.064589114	0.693090843	0	0.02352525	0.155077173	0	0	0.063717619
GTEX-1AYCT	0.060488201	0.679105083	0	0.053316342	0.167263665	0.015495831	0	0.024330879
GTEX-1AYD5	0.057815505	0.27699133	0.036517192	0.115705193	0.096223325	0.409563165	0	0.007184288
GTEX-1B8KE	0.085744379	0.712506677	0	0	0.170961368	0	0	0.030787576
GTEX-1B8KZ	0.044609832	0.608475653	0.008875121	0.060796188	0.189566499	0.060820689	0	0.026856017
GTEX-1B8L1	0.060764424	0.101660026	0.076997095	0.322600693	0	0.315598517	0.055958037	0.066421208
GTEX-1B8SF	0.072453358	0.202908496	0.12058361	0.217109147	0	0.350356399	0.012440706	0.024148285
GTEX-1B8SG	0.069189078	0.571476117	0.007774377	0.174090142	0.111478101	0.054621014	0	0.011371171
GTEX-1B932	0.050436843	0.588487071	0	0.060541323	0.219189176	0.033105216	0	0.048240372
GTEX-1B933	0.098432848	0.207007253	0.06819288	0.149256529	0	0.431006781	0.003384783	0.042718927
GTEX-1B97I	0.078168524	0.667163099	0	0.055869135	0.17813059	0	0	0.020668652
GTEX-1B97J	0.078393503	0.625361531	0	0.058010314	0.177058144	0	0	0.061176509
GTEX-1B996	0.111381203	0.626833125	0	0.11526972	0.118617512	0	0	0.02789844
GTEX-1BAJH	0.062773809	0.15713462	0.092679803	0.153298026	0	0.480505495	0.043846905	0.009761341
GTEX-1C2JI	0.075732051	0.756159006	0	0.024117843	0.127019948	0	0	0.016971152
GTEX-1C475	0.065658198	0.717445404	0	0.044880849	0.137666515	0	0	0.034349033
GTEX-1C4CL	0.052430791	0.507047657	0	0.100563613	0.245252344	0	0	0.094705595
GTEX-1C64N	0.059339841	0.175075063	0.049945044	0.332414912	0.109102264	0.184287145	0.06368472	0.026151011
GTEX-1C64O	0.058132173	0.724331908	0	0.03188012	0.169654672	0	0	0.016001127
GTEX-1C6VQ	0.085752948	0.647156807	0.012742084	0.054825386	0.103618946	0.040230966	0	0.055672863
GTEX-1C6VR	0.115863241	0.303453214	0.116853074	0.13306976	0	0.30350965	0.005518462	0.021732599
GTEX-1C6VS	0.087315507	0.562214011	0	0.138350187	0.138765861	0	0	0.073354434
