Mixture	B cells	Monocytes	T cells CD4	T cells CD8	NK cells	Dendritic cells	NK T cells	Megakaryocytes
GTEX-15RIF	0.012127914	0.855118103	0.081442689	0.020470032	0.002494506	0	0.000291142	0.028055614
GTEX-15RIG	0.001547306	0.896698626	0.027431429	0.05217832	0.007991453	0	0	0.014152865
GTEX-15RJ7	0.043679063	0.636849454	0.161041075	0.10454958	0.011747067	0	0.000136908	0.041996853
GTEX-15RJE	0.073369879	0.589694049	0.142595788	0.052469388	0.050850692	0	0.011178039	0.079842165
GTEX-15SB6	0.016268894	0.761604407	0.107076026	0.046994751	0.005715054	0	0.003748228	0.058592641
GTEX-15SDE	0.079299815	0.571063001	0.227750446	0.085369495	0.011971201	0	0	0.024546041
GTEX-16AAH	0.012342856	0.837636345	0.010661578	0.073732054	0.016844633	0	0	0.048782533
GTEX-16BQI	0.084214895	0.759528931	0.089017932	0.024398752	0.004167275	0	0.007195479	0.031476737
GTEX-16MT8	0.215760186	0.336893059	0	0.208351081	0.081708524	0	0.056498861	0.100788289
GTEX-16MT9	0.091233801	0.321757485	0	0.450738057	0.072444952	0	0.045055499	0.018770206
GTEX-16MTA	0.016784111	0.862772923	0.05611587	0.012725484	0.013018769	0	0.014387362	0.024195481
GTEX-16NGA	0.049952711	0.756894755	0.098468945	0.0579003	0.003910444	0	0.012293662	0.020579182
GTEX-16NPV	0.108117014	0.495817543	0	0.168388425	0.105175408	0	0.051462824	0.071038786
GTEX-16NPX	0.092436038	0.382046878	0	0.297290606	0.152546763	0	0.073315926	0.002363789
GTEX-16XZY	0.022703507	0.843135856	0	0.107802558	0.010345264	0	0	0.016012815
GTEX-16XZZ	0.108670174	0.634162566	0.038127736	0.034343618	0.028631432	0	0.009414297	0.146650177
GTEX-16YQH	0.16002696	0.401040018	0.051304491	0.246561853	0.049418834	0	0.025245953	0.06640189
GTEX-16Z82	0.126530708	0.398768065	0.009912853	0.306557699	0.066160612	0	0.059101122	0.032968942
